ticker,market,name,adv,adv_days,close,market_cap,rank,as_of
005930,KOSPI,,2910319778525.75,20,97900.0,579532552563800.0,1,2026-01-30
000660,KOSPI,,2704974663758.2,20,580000.0,422241371700000.0,2,2026-01-30
0001A0,KOSDAQ,,1985131132275.0,1,34850.0,863973145750.0,3,2026-01-30
005380,KOSPI,,854114519387.3,20,264000.0,54056050224000.0,4,2026-01-30
034020,KOSPI,,465002240487.5,20,77900.0,49899713273400.0,5,2026-01-30
086520,KOSDAQ,,459433681215.0,20,87200.0,11839680454400.0,6,2026-01-30
0126Z0,KOSPI,,455079668622.5,16,335500.0,8348262939500.0,7,2026-01-30
035420,KOSPI,,356754860277.1,20,260000.0,40781685880000.0,8,2026-01-30
006400,KOSPI,,300596724675.0,20,306000.0,24659172180000.0,9,2026-01-30
005935,KOSPI,,293490504217.0,20,75300.0,61442892199200.0,10,2026-01-30
042660,KOSPI,,278086123552.5,20,126800.0,38853218359200.0,11,2026-01-30
042700,KOSPI,,271361149337.5,20,127200.0,12123711840000.0,12,2026-01-30
196170,KOSDAQ,,270872159925.0,20,528000.0,28251056064000.0,13,2026-01-30
298380,KOSDAQ,,270731874970.0,20,101300.0,5584179214500.0,14,2026-01-30
007660,KOSPI,,239386596958.35,20,104000.0,7634558776000.0,15,2026-01-30
012450,KOSPI,,227757868045.1,20,923000.0,47593019123000.0,16,2026-01-30
015760,KOSPI,,221671727240.0,20,44100.0,28310615795700.0,17,2026-01-30
098460,KOSDAQ,,210257068594.0,20,18530.0,1272172610150.0,18,2026-01-30
108490,KOSDAQ,,209401090755.0,20,221000.0,2921743760000.0,19,2026-01-30
272210,KOSPI,,201662649398.75,20,52500.0,9918267922500.0,20,2026-01-30
486990,KOSDAQ,,197207283332.5,20,55400.0,1172368152000.0,21,2026-01-30
0007C0,KOSDAQ,,196610362595.45456,11,67000.0,534681708000.0,22,2026-01-30
476830,KOSDAQ,,194436736145.0,10,117000.0,1609452000000.0,23,2026-01-30
000270,KOSPI,,192616465573.55,20,110100.0,43356198627000.0,24,2026-01-30
319400,KOSDAQ,,192586048548.25,20,9160.0,1020204517240.0,25,2026-01-30
402340,KOSPI,,189184853291.5,20,279000.0,36978899382000.0,26,2026-01-30
347850,KOSDAQ,,171206130932.5,20,292000.0,3170045148000.0,27,2026-01-30
491000,KOSDAQ,,169790579402.77777,9,49600.0,1224211873600.0,28,2026-01-30
478340,KOSDAQ,,165145399630.0,10,36000.0,415209276000.0,29,2026-01-30
307950,KOSPI,,164639210672.5,20,188800.0,5177647801600.0,30,2026-01-30
035720,KOSPI,,162247709420.0,20,62800.0,27777579066400.0,31,2026-01-30
373220,KOSPI,,161667505075.0,20,463500.0,108459000000000.0,32,2026-01-30
005490,KOSPI,,158458181650.0,20,299000.0,24198952648000.0,33,2026-01-30
006800,KOSPI,,158279436581.25,20,23100.0,13174309024800.0,34,2026-01-30
012330,KOSPI,,156767144805.45,20,290000.0,26620577260000.0,35,2026-01-30
0009K0,KOSDAQ,,156126098192.30768,13,48550.0,3114781616550.0,36,2026-01-30
064350,KOSPI,,156122757307.6,20,198700.0,21686573619100.0,37,2026-01-30
000720,KOSPI,,152503999442.5,20,61900.0,6892921853500.0,38,2026-01-30
030530,KOSDAQ,,151431593048.75,20,30050.0,2321001329050.0,39,2026-01-30
010140,KOSPI,,147814732002.5,20,26300.0,23144000000000.0,40,2026-01-30
058610,KOSDAQ,,146529609327.5,20,31000.0,687498160000.0,41,2026-01-30
068270,KOSPI,,146349448285.0,20,172900.0,39929379726600.0,42,2026-01-30
090710,KOSDAQ,,144916171154.35,20,6310.0,753774913070.0,43,2026-01-30
009150,KOSPI,,143931775159.0,20,222500.0,16619347360000.0,44,2026-01-30
329180,KOSPI,,142481071087.5,20,521000.0,46250793436000.0,45,2026-01-30
267260,KOSPI,,139521612397.8,20,818000.0,29486556430000.0,46,2026-01-30
466100,KOSDAQ,,137719932247.95,20,37150.0,928457963850.0,47,2026-01-30
000150,KOSPI,,137449423000.0,20,918000.0,15168880530000.0,48,2026-01-30
0004V0,KOSDAQ,,134639251769.0,5,17710.0,184263128280.0,49,2026-01-30
278470,KOSPI,,133163096962.5,20,234000.0,8758773270000.0,50,2026-01-30
