ticker,market,name,adv,adv_days,close,market_cap,rank,as_of
005930,KOSPI,,1150106474212.75,20,69000.0,411914995950000.0,1,2021-12-30
000660,KOSPI,,429129901974.4,20,91500.0,66612216397500.0,2,2021-12-30
064260,KOSDAQ,,330527580784.0,20,5740.0,395767489600.0,3,2021-12-30
112040,KOSDAQ,,300561974675.0,20,90500.0,3009797777000.0,4,2021-12-30
121800,KOSDAQ,,285975378384.5,20,9630.0,439838742150.0,5,2021-12-30
402340,KOSPI,,260624972825.0,8,62700.0,8870016701700.0,6,2021-12-30
034020,KOSPI,,255421576272.5,20,18950.0,9829438886050.0,7,2021-12-30
256840,KOSDAQ,,246831078375.0,20,24050.0,1239335845800.0,8,2021-12-30
035720,KOSPI,,244889008157.6,20,113500.0,50548509820000.0,9,2021-12-30
036570,KOSPI,,205922469385.0,20,558000.0,12250344276000.0,10,2021-12-30
051910,KOSPI,,194817563550.65,20,796000.0,56191505028000.0,11,2021-12-30
068270,KOSPI,,193472209075.0,20,214500.0,29586996582000.0,12,2021-12-30
302440,KOSPI,,192546713425.0,20,235000.0,17977500000000.0,13,2021-12-30
293490,KOSDAQ,,189536973870.0,20,65400.0,4884588333000.0,14,2021-12-30
035420,KOSPI,,189499466196.45,20,372000.0,61105982940000.0,15,2021-12-30
259960,KOSPI,,171184777864.25,20,484000.0,23692499380000.0,16,2021-12-30
066970,KOSDAQ,,168146276315.0,20,188000.0,6500801052000.0,17,2021-12-30
377300,KOSPI,,167018835678.57144,14,170000.0,22162411250000.0,18,2021-12-30
006400,KOSPI,,155228860875.0,20,663000.0,45590883390000.0,19,2021-12-30
323410,KOSPI,,149089730517.5,20,55300.0,26273043106100.0,20,2021-12-30
258830,KOSDAQ,,139712594895.0,20,35000.0,284665115000.0,21,2021-12-30
078340,KOSDAQ,,133108111295.0,20,95600.0,1230029752000.0,22,2021-12-30
206560,KOSDAQ,,129169380530.0,20,17750.0,450106914000.0,23,2021-12-30
000270,KOSPI,,129041774260.85,20,82200.0,33320867123400.0,24,2021-12-30
005380,KOSPI,,128311589225.0,20,204500.0,43695144241500.0,25,2021-12-30
352820,KOSPI,,128045239450.0,20,275500.0,10758500083500.0,26,2021-12-30
247540,KOSDAQ,,125906668425.0,20,421900.0,9247822705400.0,27,2021-12-30
005490,KOSPI,,124455113495.0,20,322000.0,28074160870000.0,28,2021-12-30
066410,KOSDAQ,,123426902820.0,20,4690.0,193278342460.0,29,2021-12-30
063080,KOSDAQ,,118799483705.0,20,51400.0,338992868800.0,30,2021-12-30
263750,KOSDAQ,,112938406250.0,20,89800.0,5946690700000.0,31,2021-12-30
009150,KOSPI,,111666099562.5,20,159000.0,11876297664000.0,32,2021-12-30
104200,KOSDAQ,,111505822667.5,20,5120.0,75917056000.0,33,2021-12-30
136510,KOSDAQ,,110424944275.5,20,31600.0,217879092800.0,34,2021-12-30
066570,KOSPI,,109972022875.0,20,124000.0,20292328936000.0,35,2021-12-30
011200,KOSPI,,108162959097.5,20,28950.0,11736112498650.0,36,2021-12-30
011070,KOSPI,,104631823900.0,20,193000.0,4567751651000.0,37,2021-12-30
064550,KOSDAQ,,103655720110.0,20,53800.0,1356382950200.0,38,2021-12-30
086980,KOSDAQ,,101593174910.0,20,7190.0,450094000000.0,39,2021-12-30
047820,KOSDAQ,,98370965526.5,20,2455.0,443426970720.0,40,2021-12-30
052690,KOSPI,,97240045807.5,20,43950.0,1679769000000.0,41,2021-12-30
096530,KOSDAQ,,92313742667.5,20,48850.0,2551239806900.0,42,2021-12-30
041190,KOSDAQ,,91782365587.5,20,8270.0,694680000000.0,43,2021-12-30
005935,KOSPI,,91518814466.95,20,64500.0,53076192150000.0,44,2021-12-30
096770,KOSPI,,90406229087.5,20,256500.0,23717417166000.0,45,2021-12-30
005290,KOSDAQ,,90033663525.0,20,32850.0,1688966127900.0,46,2021-12-30
200350,KOSDAQ,,89418883150.0,1,24000.0,149964456000.0,47,2021-12-30
092220,KOSPI,,87090779317.25,20,2590.0,302270974600.0,48,2021-12-30
091990,KOSDAQ,,83636556575.0,20,87000.0,13486667703000.0,49,2021-12-30
361610,KOSPI,,82913160375.0,20,195500.0,13938679236000.0,50,2021-12-30
034220,KOSPI,,80712010597.5,20,17550.0,6279665535000.0,51,2021-12-30
299900,KOSDAQ,,75365775622.5,20,19000.0,693162199000.0,52,2021-12-30
086520,KOSDAQ,,74095557830.0,20,95800.0,1791592874600.0,53,2021-12-30
376300,KOSDAQ,,73564160100.0,13,66500.0,1340056795000.0,54,2021-12-30
195940,KOSDAQ,,72702742660.0,20,66200.0,1913477833800.0,55,2021-12-30
377480,KOSDAQ,,71792178855.0,10,38000.0,192442754000.0,56,2021-12-30
094480,KOSDAQ,,71421160530.5,20,6680.0,262055317840.0,57,2021-12-30
377030,KOSDAQ,,71093307635.0,20,42650.0,364337241150.0,58,2021-12-30
078600,KOSDAQ,,69594885770.0,20,95100.0,1472204394300.0,59,2021-12-30
105560,KOSPI,,68264422081.25,20,54600.0,22703112432000.0,60,2021-12-30
094820,KOSDAQ,,68063712720.0,20,11100.0,167373669900.0,61,2021-12-30
003530,KOSPI,,65804494176.25,20,4465.0,957955815375.0,62,2021-12-30
205470,KOSDAQ,,65531837700.0,20,13200.0,451754358000.0,63,2021-12-30
289220,KOSDAQ,,65530109875.0,20,70900.0,684593738500.0,64,2021-12-30
030520,KOSDAQ,,65330021862.5,20,19300.0,486433919000.0,65,2021-12-30
017670,KOSPI,,65105748777.55,20,300500.0,21654072971500.0,66,2021-12-30
