ticker,market,name,adv,adv_days,close,market_cap,rank,as_of
005930,KOSPI,,1296296416078.4,20,60300.0,359977887765000.0,1,2024-12-30
000660,KOSPI,,675008421437.55,20,178000.0,129584420970000.0,2,2024-12-30
196170,KOSDAQ,,286899927675.0,20,369000.0,19611806832000.0,3,2024-12-30
476060,KOSDAQ,,260551804620.0,3,17300.0,186908508000.0,4,2024-12-30
000100,KOSPI,,223758621205.0,20,148300.0,11895004191200.0,5,2024-12-30
459100,KOSDAQ,,218702772199.0,10,14690.0,182391040000.0,6,2024-12-30
035420,KOSPI,,187687712237.45,20,166200.0,26722385229600.0,7,2024-12-30
457600,KOSDAQ,,169403037316.25,4,7730.0,105958975000.0,8,2024-12-30
177900,KOSDAQ,,155328241680.0,2,9130.0,84788484000.0,9,2024-12-30
034020,KOSPI,,154509032116.0,20,18370.0,11767108252020.0,10,2024-12-30
105560,KOSPI,,154105259889.3,20,89400.0,35181441016200.0,11,2024-12-30
042660,KOSPI,,152088105860.0,20,30850.0,9452853204900.0,12,2024-12-30
010130,KOSPI,,145748725436.8,20,776000.0,16065747608000.0,13,2024-12-30
012450,KOSPI,,141555340809.0,20,364500.0,16614333184500.0,14,2024-12-30
005380,KOSPI,,139617682817.35,20,246000.0,51516382986000.0,15,2024-12-30
373220,KOSPI,,136511984675.0,20,436500.0,102141000000000.0,16,2024-12-30
007660,KOSPI,,131350688120.0,20,36950.0,2336955182050.0,17,2024-12-30
087010,KOSDAQ,,125714152747.5,20,61000.0,1260098350000.0,18,2024-12-30
064350,KOSPI,,125659091140.0,20,60800.0,6635851414400.0,19,2024-12-30
489790,KOSPI,,120910968442.5,20,40750.0,2057401892500.0,20,2024-12-30
000270,KOSPI,,118897529957.25,20,99600.0,39825898333200.0,21,2024-12-30
006400,KOSPI,,114194946808.9,20,371000.0,25511640630000.0,22,2024-12-30
068270,KOSPI,,112557591085.0,20,191200.0,41494451528000.0,23,2024-12-30
267260,KOSPI,,107265044454.9,20,321000.0,11571130335000.0,24,2024-12-30
005490,KOSPI,,103310229650.0,20,376000.0,31066765752000.0,25,2024-12-30
328130,KOSDAQ,,99746593272.5,20,41150.0,1188130204800.0,26,2024-12-30
272210,KOSPI,,96119503655.5,20,17960.0,3392992226440.0,27,2024-12-30
247540,KOSDAQ,,95237517230.0,20,193000.0,18875659392000.0,28,2024-12-30
141080,KOSDAQ,,94918389410.0,20,112600.0,4117483384800.0,29,2024-12-30
207940,KOSPI,,91398752832.5,20,1004000.0,71458696000000.0,30,2024-12-30
394800,KOSDAQ,,90721851549.09091,11,3290.0,103450885020.0,31,2024-12-30
005935,KOSPI,,86639968501.8,20,49900.0,41062046330000.0,32,2024-12-30
042700,KOSPI,,81053300515.0,20,107400.0,10417116291600.0,33,2024-12-30
017860,KOSPI,,78412533617.5,20,76400.0,447811265600.0,34,2024-12-30
051910,KOSPI,,77881864512.5,20,361000.0,25483835823000.0,35,2024-12-30
209640,KOSDAQ,,77268679641.17647,17,16200.0,230389482600.0,36,2024-12-30
055550,KOSPI,,76869710156.15,20,55400.0,28220384055600.0,37,2024-12-30
450080,KOSPI,,74484321130.0,20,126900.0,8765058886200.0,38,2024-12-30
086790,KOSPI,,73987227049.7,20,61300.0,17607865944000.0,39,2024-12-30
365330,KOSDAQ,,72244409640.0,20,4095.0,125347950000.0,40,2024-12-30
086520,KOSDAQ,,72169149430.0,20,92300.0,12288668782000.0,41,2024-12-30
035720,KOSPI,,71093140738.6,20,37000.0,16410513393000.0,42,2024-12-30
387570,KOSDAQ,,70564473950.0,1,14410.0,81069219000.0,43,2024-12-30
028300,KOSDAQ,,70248908590.0,20,82000.0,10752433352000.0,44,2024-12-30
003670,KOSPI,,67785076250.0,20,258500.0,20024242370000.0,45,2024-12-30
000250,KOSDAQ,,67686068225.0,20,131500.0,3084657568000.0,46,2024-12-30
474170,KOSDAQ,,67063515258.82353,17,12560.0,215462981760.0,47,2024-12-30
010140,KOSPI,,66324497694.5,20,9860.0,8676800000000.0,48,2024-12-30
475580,KOSDAQ,,65548959658.57143,14,10100.0,133703093000.0,49,2024-12-30
329180,KOSPI,,61234183686.0,20,179700.0,15952528945200.0,50,2024-12-30
466100,KOSDAQ,,59687828486.666664,15,9130.0,218598731780.0,51,2024-12-30
009540,KOSPI,,58261396688.05,20,185000.0,13093026460000.0,52,2024-12-30
012330,KOSPI,,57976508411.5,20,217000.0,20179935398000.0,53,2024-12-30
041190,KOSDAQ,,57347245249.0,20,7050.0,592200000000.0,54,2024-12-30
257720,KOSDAQ,,57078378257.5,20,41700.0,2538413857800.0,55,2024-12-30
008930,KOSPI,,55991027047.5,20,32300.0,2209047065000.0,56,2024-12-30
298380,KOSDAQ,,55850415815.0,20,33900.0,1628820047100.0,57,2024-12-30
001570,KOSPI,,53873800595.0,20,52700.0,3059236949900.0,58,2024-12-30
079900,KOSPI,,53474448232.5,20,16530.0,253910288220.0,59,2024-12-30
382150,KOSDAQ,,52331682063.333336,3,8550.0,101385361350.0,60,2024-12-30
003230,KOSPI,,51987249250.0,20,524000.0,3947299860000.0,61,2024-12-30
484870,KOSPI,,51698276162.5,4,51800.0,474172020000.0,62,2024-12-30
308430,KOSDAQ,,51122465954.44444,18,26800.0,341405441200.0,63,2024-12-30
047810,KOSPI,,50269856350.0,20,53900.0,5253908267300.0,64,2024-12-30
035900,KOSDAQ,,49651718675.0,20,51800.0,1840583085600.0,65,2024-12-30
079550,KOSPI,,49577553610.0,20,244500.0,5379000000000.0,66,2024-12-30
062040,KOSPI,,48900753215.0,20,45250.0,1377645300000.0,67,2024-12-30
457370,KOSDAQ,,48572277084.117645,17,22800.0,183018655200.0,68,2024-12-30
348370,KOSDAQ,,47367017575.0,20,204000.0,4240532292000.0,69,2024-12-30
489730,KOSDAQ,,47281640835.125,8,1990.0,12600680000.0,70,2024-12-30
010120,KOSPI,,47172629025.0,20,161000.0,4830000000000.0,71,2024-12-30
475560,KOSPI,,47032602961.53846,13,51700.0,747893751000.0,72,2024-12-30
255220,KOSDAQ,,46790560372.5,20,2280.0,213981588720.0,73,2024-12-30
036460,KOSPI,,44742356670.0,20,44100.0,4071003300000.0,74,2024-12-30
298040,KOSPI,,44180499800.0,20,363500.0,3389473198000.0,75,2024-12-30
289930,KOSDAQ,,42783528875.625,16,10890.0,135255008790.0,76,2024-12-30
352820,KOSPI,,42648235235.0,20,178800.0,7447394943600.0,77,2024-12-30
000810,KOSPI,,42513370624.2,20,327500.0,15515259117500.0,78,2024-12-30
001470,KOSPI,,41077839424.2,20,522.0,116725372128.0,79,2024-12-30
083650,KOSDAQ,,40926856263.5,20,7960.0,246317225000.0,80,2024-12-30
316140,KOSPI,,40833059732.0,20,15850.0,11770075290850.0,81,2024-12-30
047560,KOSDAQ,,40711824265.0,20,14330.0,166285205360.0,82,2024-12-30
489480,KOSDAQ,,40082072371.8,5,1954.0,12896400000.0,83,2024-12-30
011790,KOSPI,,40024289245.0,20,153800.0,5824144232400.0,84,2024-12-30
018290,KOSDAQ,,39936218710.0,20,32250.0,1154485725750.0,85,2024-12-30
009420,KOSPI,,39495662300.0,20,38800.0,2026936754400.0,86,2024-12-30
065350,KOSDAQ,,39349635332.5,20,47900.0,1316481109200.0,87,2024-12-30
009150,KOSPI,,39113784115.2,20,129800.0,9695241740800.0,88,2024-12-30
010620,KOSPI,,38935968335.0,20,100000.0,3994214900000.0,89,2024-12-30
007390,KOSDAQ,,38911147299.5,20,9960.0,640997273760.0,90,2024-12-30
039980,KOSDAQ,,38549844418.5,20,2520.0,181824998040.0,91,2024-12-30
066570,KOSPI,,38275042808.1,20,98000.0,16037485772000.0,92,2024-12-30
007110,KOSPI,,37774652376.1,20,1404.0,108749080440.0,93,2024-12-30
356680,KOSDAQ,,37376271336.75,20,4250.0,121309841000.0,94,2024-12-30
066970,KOSPI,,37122712535.0,20,118700.0,4308375320600.0,95,2024-12-30
225190,KOSDAQ,,36715236318.5,20,2610.0,132453428400.0,96,2024-12-30
089030,KOSDAQ,,36691009445.0,20,39200.0,1464262884000.0,97,2024-12-30
015760,KOSPI,,36618581016.9,20,19950.0,12807183336150.0,98,2024-12-30
445090,KOSDAQ,,36453125660.0,20,27200.0,292989859200.0,99,2024-12-30
326030,KOSPI,,36367224365.0,20,109100.0,8543975575000.0,100,2024-12-30
323280,KOSDAQ,,35966318980.0,20,37600.0,970859448000.0,101,2024-12-30
456070,KOSDAQ,,35817508728.0,20,22100.0,235354060500.0,102,2024-12-30
